,event_id,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
115,us20004wdd,10.0,4.1,51.8901,-169.3587,2016-02-01T19:17:05.650000Z,2016-02-01T11:17:05.650000Z,295.23275890321094,223.34465777377676,POM,0.1236743539139021,8.085750750686486,45.83293632798115,42.83577471051687
116,us20004y9t,41.6,3.5,53.4167,-163.7197,2016-01-31T12:52:19.000000Z,2016-01-31T04:52:19.000000Z,184.87950942754085,104.27821645108695,POM,0.12348399934641313,8.098215196243133,45.74222082040751,26.636418801595035
117,us20004yj5,19.9,3.2,54.6362,-161.4165,2016-01-30T07:10:47.000000Z,2016-01-29T23:10:47.000000Z,337.1082072375379,73.07339558465131,POM,0.12365865779084437,8.086777083505103,45.825450582668395,46.82796686677983
118,us20004yfx,32.58,3.5,53.256,-163.4945,2016-01-29T22:26:57.190000Z,2016-01-29T14:26:57.190000Z,204.75664201316172,107.88371664458113,POM,0.12368449885277756,8.085087535425973,45.83777515584766,29.305305003675617
119,us20004wuc,32.6,3.7,52.1073,-171.5733,2016-01-29T09:11:17.000000Z,2016-01-29T01:11:17.000000Z,397.2804828233962,242.74167672702546,POM,0.12363819119108496,8.088115738077102,45.81569122843716,53.111757539421035
120,us20004y91,47.4,3.0,54.689,-161.8987,2016-01-27T05:51:30.000000Z,2016-01-26T21:51:30.000000Z,308.3900372434721,70.70116033183649,POM,0.12339816522211794,8.103848207143031,45.70136384493295,41.90337486494182
121,us20004wh4,19.06,3.5,53.4853,-163.6944,2016-01-26T07:04:32.090000Z,2016-01-25T23:04:32.090000Z,184.4931199082246,101.85536912324378,POM,0.1236810223471064,8.085314796263047,45.83611692079319,28.053907513236943
122,us20004um5,25.7,4.1,53.3383,-163.5822,2016-01-26T06:47:50.000000Z,2016-01-25T22:47:50.000000Z,196.21660853185688,105.96251695830807,POM,0.12368654231346554,8.08495395938586,45.83874987547563,28.87317774835145
123,us20004vrm,21.5,3.2,54.4491,-161.4403,2016-01-24T14:42:57.000000Z,2016-01-24T06:42:57.000000Z,331.56524431400055,76.52616043378708,POM,0.12365865779084437,8.086777083505103,45.825450582668395,45.994089340980196
124,us20004vre,41.21,4.1,52.2671,-170.5392,2016-01-24T12:22:08.950000Z,2016-01-24T04:22:08.950000Z,328.1717517531776,239.0454133647056,POM,0.12356235814239894,8.093079599917914,45.779545669329345,44.33859535004322
125,us20004vra,23.27,3.4,53.9649,-163.1848,2016-01-24T10:48:48.480000Z,2016-01-24T02:48:48.480000Z,212.598048700234,85.4547366361496,POM,0.12368506143334806,8.085050760466205,45.838043502015026,31.120062714924305
126,us20004veq,39.74,3.9,53.5,-165.1395,2016-01-23T23:21:07.770000Z,2016-01-23T15:21:07.770000Z,93.17661512920769,114.71923714108735,POM,0.12313311483252833,8.121292158978406,45.57538799950033,15.309116575425769
127,us20004vae,19.01,3.5,53.024,-162.8674,2016-01-23T17:06:53.550000Z,2016-01-23T09:06:53.550000Z,253.28185830987522,110.03388471140077,POM,0.1236743539139021,8.085750750686486,45.83293632798115,36.567779518729814
128,us20004vet,42.84,3.5,52.8517,-168.673,2016-01-23T04:39:27.000000Z,2016-01-22T20:39:27.000000Z,187.39014792179722,234.25762128890617,POM,0.1234229829716425,8.102218694793324,45.713174004238255,26.952162393698416
129,us20004ve9,30.64,3.2,54.6014,-161.703,2016-01-23T00:20:47.580000Z,2016-01-22T16:20:47.580000Z,318.20356294572946,73.0041934734692,POM,0.12365865779084437,8.086777083505103,45.825450582668395,43.511557372551486
130,us10004ge9,37.18,3.6,52.3801,-168.4264,2016-01-22T01:02:23.200000Z,2016-01-21T17:02:23.200000Z,212.4604520744475,220.13898930235834,POM,0.12364831713910937,8.087453376942927,45.82051950176786,30.036637313883073
131,us10004g83,10.0,4.1,52.254,-168.3002,2016-01-21T23:57:31.730000Z,2016-01-21T15:57:31.730000Z,218.61125182852183,216.0782678154873,POM,0.12368606421099089,8.084985211382762,45.83852182166687,33.35928831137701
132,us10004g4x,32.6,3.1,54.4033,-161.4905,2016-01-21T12:29:48.000000Z,2016-01-21T04:29:48.000000Z,327.5441652129203,77.31250866513386,POM,0.1236573468888702,8.086862812111693,45.824825436996214,44.48885797576824
133,us10004gs2,13.04,3.0,53.502,-161.0818,2016-01-20T05:27:01.210000Z,2016-01-19T21:27:01.210000Z,354.5326761237425,94.24176755516991,POM,0.12365666947838207,8.086907113205262,45.824502394818516,49.80458623910287
134,us10004fnw,66.8,4.0,52.0678,-169.5835,2016-01-19T18:16:32.100000Z,2016-01-19T10:16:32.100000Z,291.4459104783035,228.19244319617215,POM,0.122337333564397,8.17411963187518,45.198845218493034,39.97406867485234
135,us10004fy5,42.56,3.0,52.181,-171.2611,2016-01-18T15:59:32.600000Z,2016-01-18T07:59:32.600000Z,374.77732241417306,242.1177649188964,POM,0.1235335654800642,8.094965899461387,45.76582788349425,50.09578412720427
136,us10004fcs,41.61,4.6,52.1246,-171.1836,2016-01-18T15:10:28.020000Z,2016-01-18T07:10:28.020000Z,373.6536602907036,240.8707345093706,POM,0.12354594388854408,8.094154842526773,45.77172495718814,49.95765999307354
137,us10004fxy,17.28,3.6,52.087,-170.5327,2016-01-18T00:53:31.980000Z,2016-01-17T16:53:31.980000Z,339.4988315983473,236.2050985438535,POM,0.12365865779084437,8.086777083505103,45.825450582668395,47.437391882334346
138,us10004fxx,28.49,3.4,53.0927,-160.6817,2016-01-18T00:45:05.250000Z,2016-01-17T16:45:05.250000Z,389.951163544759,100.27960384231471,POM,0.12364603925261383,8.08760236918677,45.81943331920308,52.57843246666004
139,us10004giv,25.2,3.2,53.568,-164.6893,2016-01-17T22:32:06.000000Z,2016-01-17T14:32:06.000000Z,118.39100021514055,105.06254030193354,POM,0.12369482051366149,8.084412878787878,45.84269870662925,19.292574806483188
140,us10004gjp,31.9,3.3,53.6053,-164.7367,2016-01-17T17:49:41.000000Z,2016-01-17T09:49:41.000000Z,114.24762630578533,103.51076540941634,POM,0.12368697245213266,8.084925842832833,45.838955051454434,18.17219532392028
141,us10004etf,25.7,4.1,53.1669,-166.7472,2016-01-15T07:26:58.000000Z,2016-01-14T23:26:58.000000Z,79.89405285449625,196.14469927817984,POM,0.1519088297268952,6.582895818484156,61.77185432605642,13.876269548792106
142,us10004eql,17.96,4.3,52.4978,-167.552,2016-01-14T23:43:14.350000Z,2016-01-14T15:43:14.350000Z,169.27841065592676,207.14036690394198,POM,0.12368287888496089,8.085193431906719,45.83700245214764,26.30374569389184
143,us10004es1,37.72,3.9,52.6944,-170.3595,2016-01-12T19:40:02.260000Z,2016-01-12T11:40:02.260000Z,293.161768332704,245.40787756654095,POM,0.12362813473241706,8.088773661144511,45.81089650344351,40.01408932299033
144,us10004es0,20.52,3.1,52.9299,-163.1308,2016-01-12T17:03:31.690000Z,2016-01-12T09:03:31.690000Z,241.58713837209007,113.95240689079857,POM,0.12368220197543095,8.085237681963704,45.836679578233735,34.95551985752889
145,us10004esc,23.7,3.5,51.857,-166.2619,2016-01-12T09:39:53.000000Z,2016-01-12T01:39:53.000000Z,222.79561584928314,177.2853725640074,POM,0.12368383714138981,8.085130790831181,45.83745952677627,32.34225732196656
146,us10004dvw,114.79,3.0,52.8357,-169.6659,2016-01-11T20:42:58.030000Z,2016-01-11T12:42:58.030000Z,244.48948317895122,243.61378278533942,POM,0.11461316987716333,8.725000809869844,41.66363865198355,35.69330674152219
147,us10004dvy,33.2,3.2,54.3893,-161.5803,2016-01-11T18:14:00.000000Z,2016-01-11T10:14:00.000000Z,321.54321741585915,77.42923454966885,POM,0.12365865779084437,8.086777083505103,45.825450582668395,43.69239480582567
148,us10004dvp,35.01,3.8,52.5349,-163.9702,2016-01-11T02:49:34.560000Z,2016-01-10T18:49:34.560000Z,219.84963984147427,131.01711444932437,POM,0.12368266994405631,8.085207090470446,45.83690279081926,30.952781707561037
149,us10004epq,16.4,3.0,53.1716,-166.6699,2016-01-10T16:25:33.000000Z,2016-01-10T08:25:33.000000Z,78.12340132859502,192.6014700611489,POM,0.16850624381100032,5.934498196527472,77.77841538496705,13.746082295156159
150,us10004epl,10.0,3.4,53.2274,-161.103,2016-01-10T00:31:52.550000Z,2016-01-09T16:31:52.550000Z,358.9618040965911,99.10761340483192,POM,0.12365631788789239,8.08693010660892,45.82433472977811,50.716826493903525
151,us10004e9b,70.03,3.6,53.6912,-166.1357,2016-01-08T21:40:58.730000Z,2016-01-08T13:40:58.730000Z,26.063547144968005,134.92996930363734,POM,0.0485714213055882,20.58823837392934,16.362542796395584,10.766482420332325
152,us10004ced,42.12,4.0,53.6922,-164.7461,2016-01-08T17:46:33.060000Z,2016-01-08T09:46:33.060000Z,111.5454679231824,98.78523378041379,POM,0.12299036662920328,8.13071809936825,45.507658164871046,17.596433155774687
153,us10004e8x,90.95,4.0,54.6323,-162.3136,2016-01-08T12:43:21.350000Z,2016-01-08T04:43:21.350000Z,280.9110157160792,70.45275488618944,POM,0.11985747121739872,8.343242935487849,44.04103122337674,39.16468374105233
154,us10004dj8,47.84,4.3,52.4257,-169.558,2016-01-07T20:38:20.790000Z,2016-01-07T12:38:20.790000Z,263.78515559906623,234.1282930122628,POM,0.12332646923525512,8.10855938875879,45.66725948369544,36.4023736197857
155,us10004dj9,27.55,3.4,53.6442,-164.7868,2016-01-07T19:11:55.970000Z,2016-01-07T11:11:55.970000Z,109.98487186833226,101.77265266611352,POM,0.12369482051366149,8.084412878787878,45.84269870662925,18.039491175078705
156,us10004bp9,32.99,4.3,52.3138,-167.0914,2016-01-06T04:23:52.710000Z,2016-01-05T20:23:52.710000Z,177.60646823245483,195.054623188658,POM,0.123679667969494,8.085403336032995,45.83547091870146,25.910257042429652
157,us10004c4p,99.59,3.7,53.1887,-168.2049,2016-01-06T02:59:15.130000Z,2016-01-05T18:59:15.130000Z,140.07564915212205,238.6558717056509,POM,0.10579460110708729,9.452278183721125,37.85089438812663,23.304556013156066
158,us10004bg7,40.48,4.6,52.0226,-169.6421,2016-01-05T07:20:49.600000Z,2016-01-04T23:20:49.600000Z,297.8377565490801,228.04142405251773,POM,0.1235779277448088,8.092059951555608,45.78696495390886,40.59048679903659
159,us10004ce5,7.8,3.0,54.351,-161.679,2016-01-05T02:04:44.330000Z,2016-01-04T18:04:44.330000Z,314.5745322020525,78.02048216700008,POM,0.12366650585237325,8.086263884529485,45.829193329481626,45.49174917761208
160,us10004cdw,29.54,3.0,52.6422,-163.5654,2016-01-05T01:07:32.610000Z,2016-01-04T17:07:32.610000Z,233.32816903723395,124.25418296158539,POM,0.12368220197543095,8.085237681963704,45.836679578233735,33.11472885007627
161,us10004c9w,28.63,3.2,53.211,-160.9461,2016-01-03T09:27:36.320000Z,2016-01-03T01:27:36.320000Z,369.57994923668514,99.0050045528302,POM,0.12364732572359442,8.087518222880414,45.82004675469244,50.046974152409575
162,us10004ca1,9.78,3.5,51.865,-169.4807,2016-01-03T02:35:06.990000Z,2016-01-02T18:35:06.990000Z,302.88202138109096,224.19916116942431,POM,0.1236743539139021,8.085750750686486,45.83293632798115,43.80817724215352
163,us10004c9n,25.9,4.0,52.7039,-168.3002,2016-01-02T22:14:09.000000Z,2016-01-02T14:14:09.000000Z,179.64753604014712,225.17771707983877,POM,0.12368054359709725,8.085346093380767,45.8358885689177,26.805832483464187
164,us10004c9m,55.01,3.9,53.4037,-165.706,2016-01-02T21:53:12.080000Z,2016-01-02T13:53:12.080000Z,68.87947488470077,136.79401823825495,POM,0.10869907284818374,9.19971048324088,39.08367173065301,12.967596299555039
165,us10004as7,21.9,3.1,54.467,-160.782,2016-01-01T20:24:16.340000Z,2016-01-01T12:24:16.340000Z,374.06128262044814,77.26775462631166,POM,0.12364862707251549,8.08743310520978,45.8206672913935,51.21264878258309
166,us10004bcl,104.3,3.2,54.0483,-165.6485,2015-12-30T20:01:41.000000Z,2015-12-30T12:01:41.000000Z,54.645428361953115,66.7463882274687,POM,0.06141665865211128,16.282227362195055,20.86802665376118,16.15484604133892
167,us10004baw,54.6,3.0,52.5474,-171.5387,2015-12-30T07:36:39.000000Z,2015-12-29T23:36:39.000000Z,371.9953692305572,249.0090603985316,POM,0.12322072114843628,8.115518158633098,45.616995100494556,49.77123349500476
168,us10004aaa,39.5,4.0,52.2362,-170.7616,2015-12-29T19:46:24.780000Z,2015-12-29T11:46:24.780000Z,342.70013410634925,240.00367927524343,POM,0.12358940993003727,8.09130815145157,45.792437120033874,46.13520954376489
169,us10004agu,10.0,3.1,52.7039,-163.9085,2015-12-29T14:36:59.450000Z,2015-12-29T06:36:59.450000Z,210.73502274133153,126.49724946456588,POM,0.12368695816167816,8.08492677694316,45.83894823490099,32.38511146936624
