,mean_power,median_power,frequency,time,station
111646,-124.59691420725672,-124.6155042072567,0.0420448,2015-12-16,3A05
111647,-125.5936803353412,-125.5418852289582,0.0458502,2015-12-16,3A05
111648,-126.55885000933064,-126.43102362635194,0.05,2015-12-16,3A05
111649,-127.61966907108823,-127.65191481576906,0.0545254,2015-12-16,3A05
111650,-128.65592945626713,-128.61907477541607,0.0594604,2015-12-16,3A05
111651,-129.67752555208912,-129.5913206584721,0.064842,2015-12-16,3A05
111652,-130.5995802568568,-130.53204004409082,0.0707107,2015-12-16,3A05
111653,-130.5194677840425,-130.64261246489352,0.0771105,2015-12-16,3A05
111654,-129.13691031138978,-129.47528094968766,0.0840896,2015-12-16,3A05
111655,-126.76901352323415,-126.7855758636597,0.0917004,2015-12-16,3A05
111656,-124.37034778368833,-124.40562501773088,0.1,2015-12-16,3A05
111657,-122.38743675848113,-122.5784239925237,0.109051,2015-12-16,3A05
111658,-120.49024818326046,-121.03999924709024,0.118921,2015-12-16,3A05
111659,-117.85147702483424,-118.73405149291936,0.129684,2015-12-16,3A05
111660,-115.22439067059369,-115.14429279825325,0.141421,2015-12-16,3A05
111661,-113.45903380748628,-113.4469742330182,0.154221,2015-12-16,3A05
111662,-112.88407042822354,-112.85120447077674,0.168179,2015-12-16,3A05
111663,-112.98049109395144,-113.17555279607912,0.183401,2015-12-16,3A05
111664,-113.256365967463,-113.6168383078885,0.2,2015-12-16,3A05
111665,-113.68389526239297,-113.98079951771209,0.218102,2015-12-16,3A05
111666,-114.23659079699424,-114.6785524991219,0.237841,2015-12-16,3A05
111667,-114.78781175092116,-115.2989543041126,0.259368,2015-12-16,3A05
111668,-115.48719797304345,-115.96071499432004,0.282843,2015-12-16,3A05
111669,-116.30968658973329,-116.5384525471801,0.308442,2015-12-16,3A05
111670,-117.09163572635305,-117.25043998167222,0.336359,2015-12-16,3A05
111671,-117.74934380518737,-117.86720125199588,0.366802,2015-12-16,3A05
111672,-118.26022091172892,-118.4570826138566,0.4,2015-12-16,3A05
111673,-118.67181489291971,-118.76234680781334,0.436203,2015-12-16,3A05
111674,-119.07570837458763,-119.18794880011951,0.475683,2015-12-16,3A05
111675,-119.65707642771416,-119.58768706601204,0.518736,2015-12-16,3A05
111676,-120.36859670786802,-120.38456479297444,0.565685,2015-12-16,3A05
111677,-121.17794786047712,-121.07373722217926,0.616884,2015-12-16,3A05
111678,-121.9998476457021,-122.06632424144678,0.672717,2015-12-16,3A05
111679,-122.84349277934176,-122.7659246942354,0.733603,2015-12-16,3A05
111680,-123.78053320235973,-123.6338034151257,0.8,2015-12-16,3A05
111681,-124.77014448590188,-124.81661469866783,0.872406,2015-12-16,3A05
111682,-125.80433605419071,-126.20011903291412,0.951366,2015-12-16,3A05
111683,-126.75067278858666,-127.618340873693,1.03747,2015-12-16,3A05
111684,-127.62656387950473,-128.79688941141964,1.13137,2015-12-16,3A05
111685,-128.41309326843643,-129.50509326843644,1.23377,2015-12-16,3A05
111686,-129.1826885612773,-130.08585664638372,1.34543,2015-12-16,3A05
111687,-129.8870133474512,-130.74820909213204,1.46721,2015-12-16,3A05
111688,-130.5200808870541,-131.06614684450085,1.6,2015-12-16,3A05
111689,-130.97479841094932,-131.20138138967272,1.74481,2015-12-16,3A05
111690,-131.32217059961496,-131.21210251450856,1.90273,2015-12-16,3A05
111691,-131.58478974641991,-130.8886897464199,2.07494,2015-12-16,3A05
111692,-131.81316645708094,-130.74680688261284,2.26274,2015-12-16,3A05
