,array_baz,array_slow,array_vel,mdccm,conf_int_vel,conf_int_baz,time,baz_error,slow_error,max_freq,min_freq,window_length,window_start,multiple_triggers,no_triggers,trigger_time,trigger_type,sta/lta,trigger_length,num_stations,array_lat,array_lon,event_id,velocity_model,array_processing,min_triggers,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
35,115.82963003307731,0.08157861739659203,12.25811409794468,0.5745667673009521,1.894387845298155,7.836043925030651,2016-04-14T13:52:53.065000Z,-34.8909170496126,0.044178919226039365,10,0.5,6,-1,peak,max mdccm,2016-04-14T13:52:51.071942Z,Multiple triggers,30.66734975534853,0.1225,10,53.85690833333333,-166.41502499999999,us20005i7d,pavdut,lts,3,30.6,4.0,54.16,-162.495,2016-04-14T13:52:13.190000Z,2016-04-14T05:52:13.190000Z,259.17673515660533,80.93871298346471,POM,0.1257575366226314,7.951809703467421,22.554402550719672,35.931942035095666
36,143.03320251076056,0.3624501868563684,2.7589998191842002,0.2672169918110529,0.3057821558046555,59.77148689793677,2016-04-15T23:57:29.985000Z,107.9356978242322,-0.2396614355039313,10,0.5,6,-1,peak,max mdccm,2016-04-15T23:57:29.990840Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us20005iws,pavdut,lts,3,30.41,3.7,50.8125,-177.785,2016-04-15T23:55:41.150000Z,2016-04-15T15:55:41.150000Z,844.5958836689332,250.96890033499272,POM,0.12278875135243708,8.144068483355843,21.993764861564095,108.84083992616462
37,147.58974754859605,0.24385123763272465,4.1008608761139245,0.3108425035767486,1.5216270061500234,16.97412246811632,2016-04-15T13:25:09.825000Z,-94.58618905115509,-0.11953370286482405,10,0.5,6,-1,peak,max mdccm,2016-04-15T13:25:12.823626Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak0164viug7v,pavdut,lts,3,12.6,3.7,57.1232,-157.7105,2016-04-15T13:23:45.872000Z,2016-04-15T05:23:45.872000Z,658.7794244963958,53.00355849744097,POM,0.1243175347679006,8.04391755247551,22.282185971177558,86.95162586679494
38,116.94836958518465,0.47845787298698006,2.0900481661155825,0.2570336890328743,2.04016917599737,76.52629057972541,2016-04-15T02:12:43.905000Z,-63.75437693702119,-0.354064107521029,10,0.5,6,-1,peak,max mdccm,2016-04-15T02:12:46.903894Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak0164vc8250,pavdut,lts,3,15.7,3.1,57.0373,-157.9142,2016-04-15T02:11:22.120000Z,2016-04-14T18:11:22.120000Z,643.305933428055,53.19399264816346,POM,0.12439376546595107,8.038988097628726,22.296583209438054,84.783894486996
39,136.96751073640345,0.18360355600098488,5.446517604455525,0.557958160104463,,,2016-04-14T03:24:04.425000Z,-31.984640251221094,-0.05874686276500156,10,0.5,6,-1,peak,max mdccm,2016-04-14T03:24:02.426626Z,Multiple triggers,30.807306541210092,0.08083333333333334,10,53.85690833333333,-166.41502499999999,us20005kkw,pavdut,lts,3,41.8,3.0,53.5744,-164.7171,2016-04-14T03:23:43.000000Z,2016-04-13T19:23:43.000000Z,116.42312179239168,104.98287048518237,POM,0.12485669323598332,8.009182159821954,22.384045533653598,17.776626367629163
40,217.46610236558308,0.16931918109542773,5.906005412561045,0.5516275707439662,0.3171004146060743,3.3961206449478993,2016-04-14T01:38:43.925000Z,27.61731225127204,-0.04453612445994247,10,0.5,6,-1,peak,max mdccm,2016-04-14T01:38:41.924106Z,Multiple triggers,36.274805066456025,0.09000000000000001,10,53.85690833333333,-166.41502499999999,us20005hxt,pavdut,lts,3,15.17,5.2,51.3833,-174.061,2016-04-14T01:37:21.950000Z,2016-04-13T17:37:21.950000Z,586.0056910511618,245.08341461685512,POM,0.12478305663548526,8.013908514207884,22.37012947914388,77.68410603760987
41,212.8847007151836,0.8772764808745317,1.1398914957837794,0.30330656177047216,0.6595182981629452,3.2118886525153414,2016-04-14T02:18:20.365000Z,31.650487215586395,-0.7526591368831563,10,0.5,6,-1,peak,max mdccm,2016-04-14T02:18:23.360104Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us20005kku,pavdut,lts,3,25.7,3.0,51.3294,-174.0476,2016-04-14T02:17:06.000000Z,2016-04-13T18:17:06.000000Z,588.320067666938,244.53518793077,POM,0.12461734399137539,8.02456518467613,22.338817716853683,77.36010446829266
42,149.690005562345,0.18743162749759282,5.335278860622618,0.6238726746576123,0.12946077502838138,1.3540771334259603,2016-04-13T15:56:55.625000Z,-23.51911485874828,-0.06062690313875688,10,0.5,6,-1,peak,max mdccm,2016-04-13T15:56:53.621305Z,Multiple triggers,82.31287562733226,0.22375,10,53.85690833333333,-166.41502499999999,us20005kbp,pavdut,lts,3,28.6,3.3,52.5976,-163.6584,2016-04-13T15:56:21.000000Z,2016-04-13T07:56:21.000000Z,231.34667445219614,126.17089070359671,POM,0.12680472435883594,7.8861415066064025,22.75269940292829,32.48130507617526
43,207.77008783318774,0.18279829072262674,5.470510670788347,0.48530958093404747,0.3068931847969467,3.3672722078764536,2016-04-11T15:44:35.565000Z,45.90750074106862,-0.08164257378164234,10,0.5,6,-1,peak,max mdccm,2016-04-11T15:44:33.573314Z,Multiple triggers,22.184566880006738,0.09,10,53.85690833333333,-166.41502499999999,us20005jn4,pavdut,lts,3,260.15,3.9,52.6989,-172.1446,2016-04-11T15:43:33.550000Z,2016-04-11T07:43:33.550000Z,403.20070311462104,253.67758857425636,POM,0.1011557169409844,9.885748727216411,17.970358794417496,59.743314077322104
44,87.74404367760741,2.4213072612687156,0.41300004175266064,0.24943113992973848,0.4650076506487908,39.38743852867114,2016-04-16T14:48:13.045000Z,166.3869857621197,-2.2985185099162786,10,0.5,6,-1,peak,max mdccm,2016-04-16T14:48:13.037382Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,us20005l35,pavdut,lts,3,48.0,3.2,51.4697,-177.0996,2016-04-16T14:46:34.000000Z,2016-04-16T06:46:34.000000Z,769.2402434841043,254.13102943972714,POM,0.12278875135243708,8.144068483355843,21.993764861564095,99.03738196498328
45,102.12376537143979,0.22549084686898566,4.434769809441615,0.36077367568766816,0.8501558859988838,13.20183734655086,2016-04-14T15:19:41.425000Z,-49.92030727370252,-0.10119412119540035,10,0.5,6,-1,peak,max mdccm,2016-04-14T15:19:44.423831Z,Taup,0.0,0.0,10,53.85690833333333,-166.41502499999999,ak0164twgu2m,pavdut,lts,3,9.5,3.1,57.227,-157.6856,2016-04-14T15:18:16.308000Z,2016-04-14T07:18:16.308000Z,665.8965479315871,52.20345809773727,POM,0.12429672567358531,8.045264222213644,22.278256138973077,88.11583105910876
